HGNC ID	Status	Approved symbol	Approved name	Previous symbol	Ensembl gene ID	NCBI gene ID
HGNC:23764	Approved	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7		ENSG00000182156	339221
HGNC:48699	Approved	ENPP7P1	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 1		ENSG00000249188	100421823
HGNC:48685	Approved	ENPP7P2	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2		ENSG00000239959	100421813
HGNC:48686	Approved	ENPP7P3	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 3		ENSG00000248618	106481658
HGNC:48687	Approved	ENPP7P4	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 4		ENSG00000241278	100421816
HGNC:48688	Approved	ENPP7P5	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 5		ENSG00000256589	106480674
HGNC:48698	Approved	ENPP7P6	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 6		ENSG00000255549	107133511
HGNC:48690	Approved	ENPP7P7	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 7		ENSG00000273819	100421859
HGNC:48691	Approved	ENPP7P8	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8		ENSG00000255319	100421860
HGNC:48692	Approved	ENPP7P9	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 9		ENSG00000250476	100421803
HGNC:48693	Approved	ENPP7P10	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10		ENSG00000249767	100421805
HGNC:48694	Approved	ENPP7P11	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11		ENSG00000250942	100421806
HGNC:48697	Approved	ENPP7P12	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 12		ENSG00000254527	106480230
HGNC:48696	Approved	ENPP7P13	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 13		ENSG00000261580	104644205
HGNC:51387	Approved	ENPP7P14	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 14		ENSG00000273963	106481720
HGNC:3360	Approved	ENSA	endosulfine alpha		ENSG00000143420	2029
HGNC:16588	Approved	ENSAP1	endosulfine alpha pseudogene 1	ENSAP	ENSG00000224274	170511
HGNC:20011	Approved	ENSAP2	endosulfine alpha pseudogene 2		ENSG00000259032	319114
HGNC:37946	Approved	ENSAP3	endosulfine alpha pseudogene 3		ENSG00000177261	100128203
HGNC:26352	Approved	ENTHD1	ENTH domain containing 1		ENSG00000176177	150350
HGNC:3363	Approved	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	CD39	ENSG00000138185	953
HGNC:45203	Approved	ENTPD1-AS1	ENTPD1 antisense RNA 1		ENSG00000226688	728558
HGNC:3364	Approved	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	CD39L1	ENSG00000054179	954
HGNC:3365	Approved	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	CD39L3	ENSG00000168032	956
HGNC:26710	Approved	ENTPD3-AS1	ENTPD3 antisense RNA 1		ENSG00000223797	285266
HGNC:14573	Approved	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	LYSAL1	ENSG00000197217	9583
HGNC:3367	Approved	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	CD39L4	ENSG00000187097	957
HGNC:3367	Approved	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	PCPH	ENSG00000187097	957
HGNC:3368	Approved	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	CD39L2	ENSG00000197586	955
HGNC:3368	Approved	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	IL6ST2	ENSG00000197586	955
HGNC:19745	Approved	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7		ENSG00000198018	57089
HGNC:24860	Approved	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8		ENSG00000188833	377841
HGNC:10667	Approved	ENTR1	endosome associated trafficking regulator 1	SDCCAG3	ENSG00000165689	10807
HGNC:29375	Approved	ENTR1P1	ENTR1 pseudogene 1	SDCCAG3L	ENSG00000256704	388478
HGNC:29375	Approved	ENTR1P1	ENTR1 pseudogene 1	SDCCAG3P1	ENSG00000256704	388478
HGNC:39164	Approved	ENTR1P2	ENTR1 pseudogene 2	SDCCAG3P2	ENSG00000181101	646891
HGNC:3369	Entry Withdrawn	ENUR1	enuresis, nocturnal 1			
HGNC:3370	Entry Withdrawn	ENUR2	enuresis, nocturnal 2			
HGNC:24449	Approved	ENY2	ENY2 transcription and export complex 2 subunit		ENSG00000120533	56943
HGNC:28526	Approved	EOGT	EGF domain specific O-linked N-acetylglucosamine transferase	C3orf64	ENSG00000163378	285203
HGNC:28089	Approved	EOLA1	endothelium and lymphocyte associated ASCH domain 1	CXorf40	ENSG00000197620	91966
HGNC:28089	Approved	EOLA1	endothelium and lymphocyte associated ASCH domain 1	CXorf40A	ENSG00000197620	91966
HGNC:17402	Approved	EOLA2	endothelium and lymphocyte associated ASCH domain 2	CXorf40B	ENSG00000197021	541578
HGNC:3372	Approved	EOMES	eomesodermin		ENSG00000163508	8320
HGNC:3373	Approved	EP300	E1A binding protein p300		ENSG00000100393	2033
HGNC:50504	Approved	EP300-AS1	EP300 antisense RNA 1		ENSG00000231993	101927279
HGNC:11958	Approved	EP400	E1A binding protein p400	TNRC12	ENSG00000183495	57634
HGNC:26602	Approved	EP400P1	EP400 pseudogene 1	EP400NL	ENSG00000185684	347918
HGNC:3374	Approved	EPAS1	endothelial PAS domain protein 1		ENSG00000116016	2034
HGNC:3377	Approved	EPB41	erythrocyte membrane protein band 4.1	EL1	ENSG00000159023	2035
HGNC:3378	Approved	EPB41L1	erythrocyte membrane protein band 4.1 like 1		ENSG00000088367	2036
HGNC:3379	Approved	EPB41L2	erythrocyte membrane protein band 4.1 like 2		ENSG00000079819	2037
HGNC:3380	Approved	EPB41L3	erythrocyte membrane protein band 4.1 like 3		ENSG00000082397	23136
HGNC:13278	Approved	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A		ENSG00000129595	64097
HGNC:30749	Approved	EPB41L4A-AS1	EPB41L4A antisense RNA 1	C5orf26	ENSG00000224032	114915
HGNC:30749	Approved	EPB41L4A-AS1	EPB41L4A antisense RNA 1	NCRNA00219	ENSG00000224032	114915
HGNC:25643	Approved	EPB41L4A-DT	EPB41L4A divergent transcript	EPB41L4A-AS2	ENSG00000278921	54508
HGNC:19818	Approved	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B		ENSG00000095203	54566
HGNC:19819	Approved	EPB41L5	erythrocyte membrane protein band 4.1 like 5		ENSG00000115109	57669
HGNC:3381	Approved	EPB42	erythrocyte membrane protein band 4.2		ENSG00000166947	2038
HGNC:19876	Approved	EPC1	enhancer of polycomb homolog 1		ENSG00000120616	80314
HGNC:24543	Approved	EPC2	enhancer of polycomb homolog 2		ENSG00000135999	26122
HGNC:11529	Approved	EPCAM	epithelial cell adhesion molecule	M4S1	ENSG00000119888	4072
HGNC:11529	Approved	EPCAM	epithelial cell adhesion molecule	MIC18	ENSG00000119888	4072
HGNC:11529	Approved	EPCAM	epithelial cell adhesion molecule	TACSTD1	ENSG00000119888	4072
HGNC:52639	Approved	EPCAM-DT	EPCAM divergent transcript		ENSG00000234690	101927043
HGNC:17572	Approved	EPDR1	ependymin related 1		ENSG00000086289	54749
HGNC:29331	Approved	EPG5	ectopic P-granules autophagy protein 5 homolog	KIAA1632	ENSG00000152223	57724
HGNC:17470	Approved	EPGN	epithelial mitogen		ENSG00000182585	255324
HGNC:3385	Approved	EPHA1	EPH receptor A1	EPHT	ENSG00000146904	2041
HGNC:3385	Approved	EPHA1	EPH receptor A1	EPHT1	ENSG00000146904	2041
HGNC:27799	Approved	EPHA1-AS1	EPHA1 antisense RNA 1		ENSG00000229153	285965
HGNC:3386	Approved	EPHA2	EPH receptor A2	ECK	ENSG00000142627	1969
HGNC:3387	Approved	EPHA3	EPH receptor A3	ETK	ENSG00000044524	2042
HGNC:3387	Approved	EPHA3	EPH receptor A3	ETK1	ENSG00000044524	2042
HGNC:3387	Approved	EPHA3	EPH receptor A3	TYRO4	ENSG00000044524	2042
HGNC:3388	Approved	EPHA4	EPH receptor A4	TYRO1	ENSG00000116106	2043
HGNC:3389	Approved	EPHA5	EPH receptor A5		ENSG00000145242	2044
HGNC:50602	Approved	EPHA5-AS1	EPHA5 antisense RNA 1		ENSG00000250846	100144602
HGNC:19296	Approved	EPHA6	EPH receptor A6		ENSG00000080224	285220
HGNC:3390	Approved	EPHA7	EPH receptor A7		ENSG00000135333	2045
HGNC:3391	Approved	EPHA8	EPH receptor A8	EEK	ENSG00000070886	2046
HGNC:19987	Approved	EPHA10	EPH receptor A10		ENSG00000183317	284656
HGNC:3392	Approved	EPHB1	EPH receptor B1	EPHT2	ENSG00000154928	2047
HGNC:3393	Approved	EPHB2	EPH receptor B2	DRT	ENSG00000133216	2048
HGNC:3393	Approved	EPHB2	EPH receptor B2	ERK	ENSG00000133216	2048
HGNC:3393	Approved	EPHB2	EPH receptor B2	EPHT3	ENSG00000133216	2048
HGNC:3394	Approved	EPHB3	EPH receptor B3	ETK2	ENSG00000182580	2049
HGNC:3395	Approved	EPHB4	EPH receptor B4	HTK	ENSG00000196411	2050
HGNC:3396	Approved	EPHB6	EPH receptor B6		ENSG00000106123	2051
HGNC:3400	Entry Withdrawn	EPHTLG	EPH-related receptor tyrosine kinase ligand #			
HGNC:3401	Approved	EPHX1	epoxide hydrolase 1	EPHX	ENSG00000143819	2052
HGNC:3402	Approved	EPHX2	epoxide hydrolase 2		ENSG00000120915	2053
HGNC:23760	Approved	EPHX3	epoxide hydrolase 3	ABHD9	ENSG00000105131	79852
HGNC:23758	Approved	EPHX4	epoxide hydrolase 4	ABHD7	ENSG00000172031	253152
HGNC:3413	Approved	EPM2A	EPM2A glucan phosphatase, laforin		ENSG00000112425	7957
HGNC:19735	Approved	EPM2AIP1	EPM2A interacting protein 1		ENSG00000178567	9852
HGNC:21604	Approved	EPN1	epsin 1		ENSG00000063245	29924
HGNC:18639	Approved	EPN2	epsin 2		ENSG00000072134	22905
HGNC:40849	Approved	EPN2-AS1	EPN2 antisense RNA 1		ENSG00000235397	100874018
HGNC:41445	Approved	EPN2-IT1	EPN2 intronic transcript 1			100874309
HGNC:18235	Approved	EPN3	epsin 3		ENSG00000049283	55040
HGNC:3415	Approved	EPO	erythropoietin		ENSG00000130427	2056
HGNC:34493	Approved	EPOP	elongin BC and polycomb repressive complex 2 associated protein	C17orf96	ENSG00000273604	100170841
HGNC:3416	Approved	EPOR	erythropoietin receptor		ENSG00000187266	2057
HGNC:15932	Approved	EPPIN	epididymal peptidase inhibitor	SPINLW1	ENSG00000101448	57119
HGNC:38825	Approved	EPPIN-WFDC6	EPPIN-WFDC6 readthrough	SPINLW1-WFDC6	ENSG00000249139	100526773
HGNC:15577	Approved	EPPK1	epiplakin 1		ENSG00000261150	83481
HGNC:3417	Entry Withdrawn	EPR1	effector cell peptidase receptor 1 (non-protein coding)			
HGNC:3418	Approved	EPRS1	glutamyl-prolyl-tRNA synthetase 1	QPRS	ENSG00000136628	2058
HGNC:3418	Approved	EPRS1	glutamyl-prolyl-tRNA synthetase 1	QARS	ENSG00000136628	2058
HGNC:3418	Approved	EPRS1	glutamyl-prolyl-tRNA synthetase 1	EPRS	ENSG00000136628	2058
HGNC:3420	Approved	EPS8	epidermal growth factor receptor pathway substrate 8		ENSG00000151491	2059
HGNC:21295	Approved	EPS8L1	EPS8 like 1		ENSG00000131037	54869
HGNC:21296	Approved	EPS8L2	EPS8 like 2		ENSG00000177106	64787
HGNC:21297	Approved	EPS8L3	EPS8 like 3		ENSG00000198758	79574
HGNC:3419	Approved	EPS15	epidermal growth factor receptor pathway substrate 15		ENSG00000085832	2060
HGNC:40219	Approved	EPS15-AS1	EPS15 antisense RNA 1		ENSG00000227070	105378720
HGNC:24634	Approved	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1		ENSG00000127527	58513
HGNC:18166	Approved	EPS15P1	epidermal growth factor receptor pathway substrate 15 pseudogene 1	EPS15L2	ENSG00000242948	55380
HGNC:16465	Approved	EPSTI1	epithelial stromal interaction 1		ENSG00000133106	94240
HGNC:3423	Approved	EPX	eosinophil peroxidase		ENSG00000121053	8288
HGNC:3053	Approved	EPYC	epiphycan	DSPG3	ENSG00000083782	1833
HGNC:1359	Approved	EQTN	equatorin	C9orf11	ENSG00000120160	54586
HGNC:3424	Approved	ERAL1	Era like 12S mitochondrial rRNA chaperone 1		ENSG00000132591	26284
HGNC:18173	Approved	ERAP1	endoplasmic reticulum aminopeptidase 1		ENSG00000164307	51752
HGNC:29499	Approved	ERAP2	endoplasmic reticulum aminopeptidase 2		ENSG00000164308	64167
HGNC:5174	Approved	ERAS	ES cell expressed Ras	HRAS2	ENSG00000187682	3266
HGNC:5174	Approved	ERAS	ES cell expressed Ras	HRASP	ENSG00000187682	3266
HGNC:3430	Approved	ERBB2	erb-b2 receptor tyrosine kinase 2	NGL	ENSG00000141736	2064
HGNC:3431	Approved	ERBB3	erb-b2 receptor tyrosine kinase 3	LCCS2	ENSG00000065361	2065
HGNC:3432	Approved	ERBB4	erb-b2 receptor tyrosine kinase 4		ENSG00000178568	2066
HGNC:15842	Approved	ERBIN	erbb2 interacting protein	ERBB2IP	ENSG00000112851	55914
HGNC:17072	Approved	ERC1	ELKS/RAB6-interacting/CAST family member 1	RAB6IP2	ENSG00000082805	23085
HGNC:31922	Approved	ERC2	ELKS/RAB6-interacting/CAST family member 2		ENSG00000187672	26059
HGNC:1229	Approved	ERC2-IT1	ERC2 intronic transcript 1	C1orf1	ENSG00000281708	711
HGNC:1229	Approved	ERC2-IT1	ERC2 intronic transcript 1	C3orf51	ENSG00000281708	711
HGNC:3433	Approved	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit		ENSG00000012061	2067
HGNC:3434	Approved	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	XPD	ENSG00000104884	2068
HGNC:3435	Approved	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit		ENSG00000163161	2071
HGNC:3436	Approved	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	XPF	ENSG00000175595	2072
HGNC:3437	Approved	ERCC5	ERCC excision repair 5, endonuclease	ERCM2	ENSG00000134899	2073
HGNC:3437	Approved	ERCC5	ERCC excision repair 5, endonuclease	XPGC	ENSG00000134899	2073
HGNC:3438	Approved	ERCC6	ERCC excision repair 6, chromatin remodeling factor	CKN2	ENSG00000225830	2074
HGNC:48347	Entry Withdrawn	ERCC6-PGBD3	ERCC6-PGBD3 readthrough			
HGNC:20794	Approved	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase		ENSG00000186871	54821
HGNC:26922	Approved	ERCC6L2	ERCC excision repair 6 like 2	C9orf102	ENSG00000182150	375748
HGNC:3439	Approved	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	CKN1	ENSG00000049167	1161
HGNC:40220	Approved	ERCC8-AS1	ERCC8 antisense RNA 1		ENSG00000233847	105378991
HGNC:3440	Entry Withdrawn	ERCM1	excision repair complementing defective repair in mouse cells			
HGNC:3442	Approved	ERDA1	expanded repeat domain, CAG/CTG 1			9030
HGNC:3443	Approved	EREG	epiregulin		ENSG00000124882	2069
HGNC:3444	Approved	ERF	ETS2 repressor factor		ENSG00000105722	2077
HGNC:26727	Approved	ERFE	erythroferrone	FAM132B	ENSG00000178752	151176
HGNC:53894	Approved	ERFL	ETS repressor factor like		ENSG00000268041	390937
HGNC:3446	Approved	ERG	ETS transcription factor ERG		ENSG00000157554	2078
HGNC:1187	Approved	ERG28	ergosterol biosynthesis 28 homolog	C14orf1	ENSG00000133935	11161
HGNC:29205	Approved	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1		ENSG00000113719	57222
HGNC:30208	Approved	ERGIC2	ERGIC and golgi 2		ENSG00000087502	51290
HGNC:15927	Approved	ERGIC3	ERGIC and golgi 3	SDBCAG84	ENSG00000125991	51614
HGNC:15927	Approved	ERGIC3	ERGIC and golgi 3	C20orf47	ENSG00000125991	51614
HGNC:3447	Approved	ERH	ERH mRNA splicing and mitosis factor		ENSG00000100632	2079
HGNC:41916	Approved	ERHP1	ERH pseudogene 1		ENSG00000254270	100507125
HGNC:41917	Approved	ERHP2	ERH pseudogene 2		ENSG00000218143	100874403
HGNC:23994	Approved	ERI1	exoribonuclease 1	THEX1	ENSG00000104626	90459
HGNC:30541	Approved	ERI2	ERI1 exoribonuclease family member 2	EXOD1	ENSG00000196678	112479
HGNC:17276	Approved	ERI3	ERI1 exoribonuclease family member 3	PRNPIP	ENSG00000117419	79033
HGNC:41431	Approved	ERI3-IT1	ERI3 intronic transcript 1		ENSG00000233602	100874278
HGNC:49404	Approved	ERICD	E2F1-regulated inhibitor of cell death	LINC01130	ENSG00000280303	104355217
HGNC:27234	Approved	ERICH1	glutamate rich 1		ENSG00000104714	157697
HGNC:44395	Approved	ERICH2	glutamate rich 2		ENSG00000204334	285141
HGNC:25346	Approved	ERICH3	glutamate rich 3	C1orf173	ENSG00000178965	127254
HGNC:41093	Approved	ERICH3-AS1	ERICH3 antisense RNA 1		ENSG00000234497	101927320
HGNC:34497	Approved	ERICH4	glutamate rich 4	C19orf69	ENSG00000204978	100170765
HGNC:26823	Approved	ERICH5	glutamate rich 5	C8orf47	ENSG00000177459	203111
HGNC:28602	Approved	ERICH6	glutamate rich 6	C3orf44	ENSG00000163645	131831
HGNC:28602	Approved	ERICH6	glutamate rich 6	FAM194A	ENSG00000163645	131831
HGNC:41205	Approved	ERICH6-AS1	ERICH6 antisense RNA 1		ENSG00000240137	101928085
HGNC:26523	Approved	ERICH6B	glutamate rich 6B	FAM194B	ENSG00000165837	220081
HGNC:25222	Approved	ERLEC1	endoplasmic reticulum lectin 1	C2orf30	ENSG00000068912	27248
HGNC:38012	Approved	ERLEC1P1	endoplasmic reticulum lectin 1 pseudogene 1		ENSG00000240755	100288870
HGNC:16947	Approved	ERLIN1	ER lipid raft associated 1	C10orf69	ENSG00000107566	10613
HGNC:16947	Approved	ERLIN1	ER lipid raft associated 1	SPFH1	ENSG00000107566	10613
HGNC:1356	Approved	ERLIN2	ER lipid raft associated 2	C8orf2	ENSG00000147475	11160
HGNC:1356	Approved	ERLIN2	ER lipid raft associated 2	SPFH2	ENSG00000147475	11160
HGNC:1356	Approved	ERLIN2	ER lipid raft associated 2	SPG18	ENSG00000147475	11160
HGNC:41109	Approved	ERLNC1	estrogen receptor responsive lncRNA 1		ENSG00000230550	101929441
HGNC:15743	Approved	ERMAP	erythroblast membrane associated protein (Scianna blood group)	RD	ENSG00000164010	114625
HGNC:15743	Approved	ERMAP	erythroblast membrane associated protein (Scianna blood group)	SC	ENSG00000164010	114625
HGNC:21056	Approved	ERMARD	ER membrane associated RNA degradation	C6orf70	ENSG00000130023	55780
HGNC:29208	Approved	ERMN	ermin	KIAA1189	ENSG00000136541	57471
HGNC:23703	Approved	ERMP1	endoplasmic reticulum metallopeptidase 1	KIAA1815	ENSG00000099219	79956
HGNC:3449	Approved	ERN1	endoplasmic reticulum to nucleus signaling 1		ENSG00000178607	2081
HGNC:16942	Approved	ERN2	endoplasmic reticulum to nucleus signaling 2		ENSG00000134398	10595
HGNC:13280	Approved	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	ERO1L	ENSG00000197930	30001
HGNC:14355	Approved	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	ERO1LB	ENSG00000086619	56605
HGNC:26495	Approved	ERP27	endoplasmic reticulum protein 27	C12orf46	ENSG00000139055	121506
HGNC:13799	Approved	ERP29	endoplasmic reticulum protein 29	C12orf8	ENSG00000089248	10961
HGNC:24625	Approved	ERP29P1	endoplasmic reticulum lumenal protein 29 pseudogene 1		ENSG00000233347	100420612
HGNC:18311	Approved	ERP44	endoplasmic reticulum protein 44	TXNDC4	ENSG00000023318	23071
HGNC:3450	Entry Withdrawn	ERPL1	endogenous retroviral pol gene-like sequence 1 (clone HLM2)			
HGNC:3451	Entry Withdrawn	ERPL2	endogenous retroviral pol gene-like sequence 2			
HGNC:18185	Approved	ERRFI1	ERBB receptor feedback inhibitor 1		ENSG00000116285	54206
HGNC:41441	Entry Withdrawn	ERRFI1-IT1	ERRFI1 intronic transcript 1 (non-protein coding)			
HGNC:3453	Entry Withdrawn	ERV1	endogenous retroviral sequence 1			
HGNC:3454	Approved	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV3	ENSG00000213462	2086
HGNC:22218	Approved	ERV3-2	endogenous retrovirus group 3 member 2			57612
HGNC:39060	Approved	ERV9-1	endogenous retrovirus group 9 member 1			100616497
HGNC:41524	Approved	ERV18-1	endogenous retrovirus group 18 member 1			100133791
HGNC:14602	Approved	ERVE-1	endogenous retrovirus group E member 1	ERVE1	ENSG00000267259	85314
HGNC:39048	Approved	ERVE-2	endogenous retrovirus group E member 2			100862691
HGNC:39049	Approved	ERVE-3	endogenous retrovirus group E member 3			100862700
HGNC:39050	Approved	ERVE-4	endogenous retrovirus group E member 4			100616105
HGNC:17254	Entry Withdrawn	ERVFC1	endogenous retroviral family FC, member 1			
HGNC:38137	Approved	ERVFC1-1	endogenous retrovirus group FC1 member 1, envelope			346547
HGNC:39047	Approved	ERVFH21-1	endogenous retrovirus group FH21 member 1			100616104
HGNC:33823	Approved	ERVFRD-1	endogenous retrovirus group FRD member 1, envelope		ENSG00000244476	405754
HGNC:35201	Approved	ERVFRD-2	endogenous retrovirus group FRD member 2			107985332
HGNC:49792	Approved	ERVFRD-3	endogenous retrovirus group FRD member 3		ENSG00000264801	100533725
HGNC:39053	Approved	ERVH-1	endogenous retrovirus group H member 1		ENSG00000251292	100616446
HGNC:39054	Approved	ERVH-2	endogenous retrovirus group H member 2			100616461
HGNC:39055	Approved	ERVH-3	endogenous retrovirus group H member 3			100289683
HGNC:21344	Approved	ERVH-4	endogenous retrovirus group H member 4			51359
HGNC:39057	Approved	ERVH-5	endogenous retrovirus group H member 5			100862699
HGNC:39058	Approved	ERVH-6	endogenous retrovirus group H member 6			51581
HGNC:39059	Approved	ERVH-7	endogenous retrovirus group H member 7			100862698
HGNC:53421	Approved	ERVH-8	endogenous retrovirus group H member 8, envelope			
HGNC:53422	Approved	ERVH-9	endogenous retrovirus group H member 9, envelope			
HGNC:53423	Approved	ERVH-10	endogenous retrovirus group H member 10, envelope			
HGNC:17216	Approved	ERVH48-1	endogenous retrovirus group 48 member 1	C21orf105	ENSG00000233056	90625
HGNC:17216	Approved	ERVH48-1	endogenous retrovirus group 48 member 1	NDUFV3-AS1	ENSG00000233056	90625
HGNC:39052	Approved	ERVI-1	endogenous retrovirus group I member 1			100131068
HGNC:39000	Approved	ERVK-1	endogenous retrovirus group K member 1			100862690
HGNC:39001	Approved	ERVK-2	endogenous retrovirus group K member 2			100616100
HGNC:39002	Approved	ERVK-3	endogenous retrovirus group K member 3			100862689
HGNC:13756	Approved	ERVK-4	endogenous retrovirus group K member 4	ERVK4		60359
HGNC:13757	Approved	ERVK-5	endogenous retrovirus group K member 5	ERVK5		60358
HGNC:13915	Approved	ERVK-6	endogenous retrovirus group K member 6, envelope	ERVK6		64006
HGNC:31828	Approved	ERVK-7	endogenous retrovirus group K member 7	ERVK7		449619
HGNC:32302	Approved	ERVK-8	endogenous retrovirus group K member 8, envelope	ERVK8		619465
HGNC:39005	Approved	ERVK-9	endogenous retrovirus group K member 9			100616102
HGNC:39004	Approved	ERVK-10	endogenous retrovirus group K member 10			100616101
HGNC:39006	Approved	ERVK-11	endogenous retrovirus group K member 11			100862688
HGNC:39007	Approved	ERVK-12	endogenous retrovirus group K member 12			100616442
HGNC:39008	Approved	ERVK-13	endogenous retrovirus group K member 13			100861467
HGNC:39019	Approved	ERVK-14	endogenous retrovirus group K member 14			100862687
HGNC:39022	Approved	ERVK-15	endogenous retrovirus group K member 15			100616443
HGNC:39023	Approved	ERVK-16	endogenous retrovirus group K member 16			100616411
HGNC:39024	Approved	ERVK-17	endogenous retrovirus group K member 17			100862686
HGNC:39025	Approved	ERVK-18	endogenous retrovirus group K member 18			100775105
HGNC:39026	Approved	ERVK-19	endogenous retrovirus group K member 19, envelope			105376906
HGNC:39031	Approved	ERVK-20	endogenous retrovirus group K member 20			100616444
HGNC:39035	Approved	ERVK-21	endogenous retrovirus group K member 21, envelope			100616103
HGNC:39036	Approved	ERVK-22	endogenous retrovirus group K member 22			100616445
HGNC:39037	Approved	ERVK-23	endogenous retrovirus group K member 23			100616197
HGNC:39038	Approved	ERVK-24	endogenous retrovirus group K member 24			100862684
HGNC:39039	Approved	ERVK-25	endogenous retrovirus group K member 25			100862683
HGNC:44979	Approved	ERVK-26	endogenous retrovirus group K member 26			103539957
HGNC:44980	Approved	ERVK-27	endogenous retrovirus group K member 27			106144566
HGNC:44981	Approved	ERVK-28	endogenous retrovirus group K member 28		ENSG00000267696	106707175
HGNC:44982	Approved	ERVK-29	endogenous retrovirus group K member 29			106144555
HGNC:51378	Approved	ERVK-30	endogenous retrovirus group K member 30			106144591
HGNC:51379	Approved	ERVK-31	endogenous retrovirus group K member 31			106144590
HGNC:53424	Approved	ERVK-32	endogenous retrovirus group K member 32, envelope			110006328
HGNC:3455	Entry Withdrawn	ERVK2	endogenous retroviral sequence K(C4), 2			
HGNC:3456	Entry Withdrawn	ERVK3	endogenous retroviral sequence K(C4), 3			
HGNC:30466	Approved	ERVK3-1	endogenous retrovirus group K3 member 1		ENSG00000142396	105372481
HGNC:39040	Approved	ERVK3-2	endogenous retrovirus group K3 member 2			100862697
HGNC:39108	Approved	ERVK3-3	endogenous retrovirus group K3 member 3			100616462
HGNC:39109	Approved	ERVK3-4	endogenous retrovirus group K3 member 4			100616106
HGNC:39110	Approved	ERVK3-5	endogenous retrovirus group K3 member 5			100616412
HGNC:39111	Approved	ERVK3-6	endogenous retrovirus group K3 member 6			100616107
HGNC:39112	Approved	ERVK3-7	endogenous retrovirus group K3 member 7			100616199
HGNC:39113	Approved	ERVK3-8	endogenous retrovirus group K3 member 8			100616108
HGNC:50898	Approved	ERVK9-1	endogenous retrovirus group K9, member 1			111188150
HGNC:50908	Approved	ERVK9-2	endogenous retrovirus group K9, member 2			111188149
HGNC:50909	Approved	ERVK9-3	endogenous retrovirus group K9, member 3			111188148
HGNC:50910	Approved	ERVK9-4	endogenous retrovirus group K9, member 4			111188143
HGNC:51154	Approved	ERVK9-5	endogenous retrovirus group K9, member 5			111188147
HGNC:51155	Approved	ERVK9-6	endogenous retrovirus group K9, member 6			111188146
HGNC:51156	Approved	ERVK9-7	endogenous retrovirus group K9, member 7			111188142
HGNC:51157	Approved	ERVK9-8	endogenous retrovirus group K9, member 8			111188145
HGNC:51158	Approved	ERVK9-9	endogenous retrovirus group K9, member 9			111188137
HGNC:51159	Approved	ERVK9-10	endogenous retrovirus group K9, member 10			111188144
HGNC:51160	Approved	ERVK9-11	endogenous retrovirus group K9, member 11		ENSG00000269486	111188141
HGNC:53627	Approved	ERVK9-12	endogenous retrovirus group K9, member 12			105375011
HGNC:43647	Approved	ERVK11-1	endogenous retrovirus group K11 member 1			100859922
HGNC:27548	Approved	ERVK13-1	endogenous retrovirus group K13 member 1		ENSG00000260565	100507321
HGNC:42970	Approved	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope		ENSG00000226887	100288413
HGNC:27919	Approved	ERVMER61-1	endogenous retrovirus group MER61 member 1	C1orf99	ENSG00000230426	339476
HGNC:39042	Approved	ERVPABLB-1	endogenous retrovirus group PABLB member 1, envelope			100862693
HGNC:41525	Approved	ERVS71-1	endogenous retrovirus group S71 member 1, envelope			105372315
